hm_id,st_id
301,501
302,501
303,501
304,501
302,502
302,503
303,503
305,503
303,504
305,504
302,505
302,506
303,507
303,508
305,508
309,508
310,508
311,508
313,508
314,508
304,509
304,510
306,511
307,511
308,511
309,511
312,511
313,511
310,512
315,513
316,513
317,514
318,514
319,515
320,515
321,516
325,516
321,517
325,517
322,518
321,519
323,519
324,519
326,519
325,520
326,521
341,521
327,522
328,522
329,522
332,522
327,523
329,523
331,523
327,524
331,524
327,525
331,525
330,526
331,527
333,528
334,528
335,528
336,528
337,528
338,528
339,528
333,529
334,529
335,529
336,529
337,529
338,529
339,529
340,530
340,531
342,532
345,532
347,532
348,532
343,533
348,533
343,534
344,535
346,536
